Time,Actuator1_Disp,Actuator1_Force,Actuator2_Disp,Actuator2_Force
0.17578125,7.446217,6.403326,7.3907733,6.30619
0.17773438,7.6641883,6.9938211,7.61378,7.1713666
0.1796875,7.8632578,6.3017001,7.8111124,7.7661943
0.18164063,8.0856542,6.0882062,8.0321416,7.1869554
0.18359375,8.2964019,6.9260411,8.2652854,6.9198904
0.18554688,8.5068836,7.4614419,8.484951,7.6097641
0.1875,8.7359819,6.9602775,8.7101478,8.090805
0.18945313,8.9511728,6.5871605,8.9521322,7.8021035
0.19140625,9.1829958,7.3527212,9.1904048,7.5704183
0.19335938,9.4123888,8.0133676,9.4127187,7.9753174
0.1953125,9.6359157,7.562849,9.6429977,8.421832
0.19726563,9.8744478,7.1700429,9.8781795,8.3569307
0.19921875,10.110721,7.7272934,10.123397,8.1205349
0.20117188,10.352521,8.4195776,10.382319,8.4614143
0.203125,10.593543,8.1626024,10.620254,8.9357357
0.20507813,10.834496,7.7508635,10.847865,8.7696971
0.20703125,11.079844,8.1700077,11.117617,8.5826377
0.20898438,11.325894,8.7749967,11.371,8.9329452
0.2109375,11.575449,8.7492809,11.615669,9.39435
0.21289063,11.833352,8.347455,11.886401,9.3504657
0.21484375,12.098312,8.6321296,12.138142,9.0602407
0.21679688,12.338897,9.3100528,12.38571,9.3272199
0.21875,12.583465,9.1923618,12.651736,9.8196163
0.22070313,12.837987,8.7658004,12.928801,9.8300705
0.22265625,13.096756,9.1122665,13.187742,9.657526
0.22460938,13.360622,9.8393831,13.436823,9.8231744
0.2265625,13.614697,9.8005809,13.695224,10.204824
0.22851563,13.888443,9.3171672,13.964029,10.3239
0.23046875,14.145262,9.5473499,14.236311,10.1744
0.23242188,14.40804,10.231218,14.502449,10.264842
0.234375,14.681804,10.21609,14.782483,10.625842
0.23632813,14.948911,9.7239723,15.043309,10.815868
0.23828125,15.223617,10.016618,15.295094,10.687103
0.24023438,15.483197,10.730712,15.580846,10.5161
0.2421875,15.748802,10.609977,15.859271,10.902799
0.24414063,16.014914,10.194979,16.127905,11.465373
0.24609375,16.292934,10.536528,16.379322,11.245692
0.24804688,16.564909,11.068109,16.64707,10.904183
0.25,16.831436,11.043165,16.935812,11.389624
0.25195313,17.098312,10.653766,17.19586,11.859016
0.25390625,17.366236,10.849434,17.46315,11.589939
0.25585938,17.633839,11.489393,17.739466,11.402784
0.2578125,17.896498,11.57164,18.004829,11.847437
0.25976563,18.172901,11.23305,18.270401,12.226912
0.26171875,18.423203,11.298375,18.531202,11.93714
0.26367188,18.680468,11.881351,18.779753,11.769393
0.265625,18.948812,11.98139,19.053461,12.351128
0.26757813,19.207203,11.624609,19.327747,12.736151
0.26953125,19.462626,11.827789,19.563301,12.429693
0.27148438,19.70966,12.375847,19.806637,12.276665
0.2734375,19.968748,12.27361,20.066231,12.667937
0.27539063,20.236301,12.029429,20.318804,13.048392
0.27734375,20.476883,12.364771,20.57386,13.077393
0.27929688,20.7043,12.640605,20.802418,12.850075
0.28125,20.95281,12.491808,21.024784,12.83881
0.28320313,21.196728,12.429734,21.266384,13.218909
0.28515625,21.439596,12.809226,21.493332,13.45473
0.28710938,21.661932,13.02161,21.738113,13.296037
0.2890625,21.877588,12.844579,21.97467,13.159945
0.29101563,22.118578,12.734983,22.189302,13.443574
0.29296875,22.341803,13.021266,22.41251,13.625688
0.29492188,22.550112,13.325933,22.629725,13.499994
0.296875,22.76473,13.077181,22.826759,13.481146
0.29882813,22.970394,13.049881,23.031136,13.662066
0.30078125,23.168192,13.321824,23.246908,13.810409
0.30273438,23.36261,13.412745,23.422895,13.673144
0.3046875,23.548517,13.554269,23.599508,13.684531
0.30664063,23.744764,13.587977,23.790131,13.937403
0.30859375,23.929317,13.467261,23.960503,14.047569
0.31054688,24.105228,13.335544,24.116787,14.033082
0.3125,24.27994,13.430389,24.280584,13.86859
0.31445313,24.439018,13.615288,24.462732,13.83152
0.31640625,24.601402,13.530391,24.611174,14.080484
0.31835938,24.754129,13.383098,24.743238,14.149118
0.3203125,24.891672,13.511252,24.878925,13.904503
0.32226563,25.027771,13.746044,24.992058,13.82921
0.32421875,25.150093,13.674032,25.110317,14.13079
0.32617188,25.256626,13.519165,25.224417,14.302253
0.328125,25.37583,13.644009,25.338346,14.157948
0.33007813,25.469275,13.861895,25.442375,14.064524
0.33203125,25.542816,13.821588,25.510679,14.200976
0.33398438,25.626257,13.590326,25.578859,14.297546
0.3359375,25.691963,13.679914,25.658371,14.171835
0.33789063,25.748732,13.982165,25.719101,14.14742
0.33984375,25.7978,13.919618,25.760128,14.332953
0.34179688,25.849676,13.622276,25.803986,14.397019
0.34375,25.880806,13.688661,25.823864,14.248038
0.34570313,25.895222,13.979699,25.843332,14.250799
0.34765625,25.915781,14.011557,25.88476,14.53582
0.34960938,25.916965,14.005816,25.896593,14.850595
0.3515625,25.91753,13.872993,25.889301,14.723455
0.35351563,25.907064,12.909217,25.879992,14.155942
0.35546875,25.902613,11.644098,25.877922,12.8496
0.35742188,25.895878,12.15966,25.865896,11.493913
0.359375,25.847605,13.61172,25.842438,12.660336
0.36132813,25.794418,13.098855,25.800226,14.380717
0.36328125,25.740158,11.523705,25.734938,13.24502
0.36523438,25.67906,11.839334,25.684284,11.507994
0.3671875,25.586466,13.391994,25.600801,12.442406
0.36914063,25.487717,13.012571,25.496082,14.240125
0.37109375,25.39477,11.485899,25.387617,13.402239
0.37304688,25.280615,11.74725,25.296412,11.662091
0.375,25.168472,13.296902,25.201483,12.253983
0.37695313,25.033913,13.063355,25.071041,13.938393
0.37890625,24.910522,11.45813,24.949739,13.380907
0.38085938,24.786055,11.678316,24.801577,11.449794
0.3828125,24.649542,12.782399,24.673862,11.769181
0.38476563,24.510277,12.322583,24.549061,13.426953
0.38671875,24.351345,11.108896,24.38336,13.116215
0.38867188,24.206831,11.312771,24.247351,11.488662
0.390625,24.048412,12.308007,24.103025,11.564682
0.39257813,23.891357,11.914351,23.947573,12.7143
0.39453125,23.724895,10.814481,23.795979,12.346508
0.39648438,23.542982,10.97057,23.622795,11.141159
0.3984375,23.356905,11.748784,23.441969,11.192816
0.40039063,23.165346,11.422883,23.247635,12.081444
0.40234375,22.962143,10.471184,23.057705,11.81954
0.40429688,22.752365,10.618929,22.847631,10.882968
0.40625,22.546886,11.494406,22.627644,10.94344
0.40820313,22.31698,11.098141,22.425467,11.650434
0.41015625,22.095472,10.174991,22.209169,11.545178
0.41210938,21.868111,10.392762,21.984076,10.644795
0.4140625,21.628506,10.93605,21.76346,10.578597
0.41601563,21.388163,10.592752,21.543043,11.105401
0.41796875,21.148636,9.9200382,21.280983,10.899566
0.41992188,20.904974,10.030721,21.038818,10.149246
0.421875,20.641041,10.367405,20.791529,10.103843
0.42382813,20.366745,10.127276,20.513247,10.634905
0.42578125,20.102682,9.5485,20.248352,10.486231
0.42773438,19.848654,9.4829311,19.967495,9.9982357
0.4296875,19.565393,9.8123436,19.707697,9.7737064
0.43164063,19.275797,9.6979484,19.419136,9.9197597
0.43359375,19.001543,9.1941051,19.124189,9.9600811
0.43554688,18.724939,8.7602148,18.833776,9.4850959
0.4375,18.432821,8.9979486,18.537117,9.2082729
0.43945313,18.134432,9.3479108,18.23135,9.466279
0.44140625,17.836485,8.6890907,17.90254,9.4207248
0.44335938,17.533154,8.0371551,17.604647,9.0372924
0.4453125,17.221151,8.4457941,17.281342,8.893918
0.44726563,16.902468,8.5601463,16.947819,8.7014122
0.44921875,16.586493,8.1372623,16.625875,8.6590347
0.45117188,16.25001,7.7780504,16.303389,8.6722755
0.453125,15.921495,7.8436703,15.962163,8.4873991
0.45507813,15.589603,8.0329294,15.601089,8.1768293
0.45703125,15.242798,7.1727309,15.258367,7.8737506
0.45898438,14.90254,6.9892797,14.902113,8.0396308
0.4609375,14.554439,7.7318792,14.565373,7.8237571
0.46289063,14.199259,7.2719092,14.222747,7.2248802
0.46484375,13.834743,6.3724079,13.869325,7.3833522
0.46679688,13.484957,6.6303792,13.529445,7.4808125
0.46875,13.118119,7.0976338,13.152285,7.0815148
0.47070313,12.749221,6.5203523,12.775099,6.6854567
0.47265625,12.389344,5.5304684,12.390109,6.6522312
0.47460938,12.016294,5.4802746,12.026104,6.9605298
0.4765625,11.63809,6.6469793,11.657996,6.4079146
0.47851563,11.248432,6.247282,11.267742,5.486145
0.48046875,10.868771,4.5788145,10.881474,5.7823944
0.48242188,10.499819,4.5480861,10.49939,6.3013091
0.484375,10.102786,5.6393199,10.11516,5.6826696
0.48632813,9.7027874,5.4684267,9.7068567,4.932167
0.48828125,9.3320846,3.8642246,9.3285274,5.0040102
0.49023438,8.9370079,3.6862788,8.9114923,5.380608
0.4921875,8.523817,4.3558888,8.4892311,4.8651356
0.49414063,8.1231002,4.1852951,8.087984,3.8493566
0.49609375,7.7262811,3.1889636,7.6756091,4.0866494
0.49804688,7.3260073,2.9588756,7.2652382,4.8344788
0.5,6.9139022,3.3693976,6.8522472,3.9983868
0.50195313,6.4977512,2.6602356,6.4520854,2.2248096
0.50390625,6.1108293,2.3218004,6.0429463,3.0544414
0.50585938,5.6951384,2.0004711,5.6083784,4.5259294
0.5078125,5.2589569,1.8485536,5.169569,2.67982
0.50976563,4.8403811,1.723002,4.7470688,1.0730547
0.51171875,4.4266767,0.94422036,4.3328275,2.0152835
0.51367188,4.0089373,0.66614687,3.9376246,2.801181
0.515625,3.5786595,0.58495754,3.4907724,1.4919
0.51757813,3.1718297,0.16150929,3.0549097,0.0899776
0.51953125,2.7558002,-0.65109009,2.6363825,0.90994734
0.52148438,2.3337087,-0.61351335,2.1825435,1.1983989
0.5234375,1.9069851,0.10380093,1.7648248,-0.23252666
0.52539063,1.4729107,0.02436517,1.3271591,-0.7511186
0.52734375,1.0546093,-0.55705678,0.88980824,0.0046110577
0.52929688,0.63107467,-0.57932568,0.46163452,0.52086943
0.53125,0.18639828,0.077118307,-0.021710709,-0.50826657
0.53320313,-0.24287355,0.15572159,-0.46684563,-0.85478085
0.53515625,-0.65977514,-0.82624787,-0.87319469,0.57156885
0.53710938,-1.0909231,-1.3676989,-1.2991555,0.1248017
0.5390625,-1.5226541,-1.2885561,-1.724051,-1.1122037
0.54101563,-1.9570303,-1.6128308,-2.1855175,-0.86845493
0.54296875,-2.381586,-2.6025359,-2.6395542,-1.0235453
0.54492188,-2.8140139,-3.3411769,-3.0681078,-1.7752519
0.546875,-3.2406077,-2.7406501,-3.4793388,-2.5056393
0.54882813,-3.6590838,-2.9486842,-3.9085388,-2.8629198
0.55078125,-4.0968422,-4.529437,-4.3689661,-2.5771975
0.55273438,-4.5185036,-4.96178,-4.8239212,-3.1148481
0.5546875,-4.9504342,-3.961622,-5.2819194,-4.2899699
0.55664063,-5.3915925,-4.2153544,-5.6904029,-4.653306
0.55859375,-5.8117718,-6.1872053,-6.1140279,-4.2265219
0.56054688,-6.2380919,-6.4107327,-6.5754442,-4.3003907
0.5625,-6.6698799,-4.9971647,-7.0199999,-5.4167151
0.56445313,-7.1075778,-5.3581013,-7.4572186,-6.0577459
0.56640625,-7.5441455,-7.2316904,-7.8606977,-5.7012257
0.56835938,-7.9570198,-7.5952434,-8.2847824,-5.4713411
0.5703125,-8.3823452,-6.3033232,-8.7632408,-6.4633092
0.57226563,-8.8275432,-6.4077882,-9.2224664,-7.2390885
0.57421875,-9.2381534,-8.3317127,-9.6358327,-6.5839614
0.57617188,-9.6680336,-8.6861476,-10.050512,-6.5484204
0.578125,-10.114594,-7.1822271,-10.490447,-7.5935201
0.58007813,-10.525881,-7.1238493,-10.933414,-8.1424045
0.58203125,-10.958472,-9.1197509,-11.377501,-7.738974
0.58398438,-11.400085,-9.7048025,-11.803677,-7.4536299
0.5859375,-11.805441,-8.1836147,-12.233027,-8.3193864
0.58789063,-12.233333,-8.2525234,-12.664024,-9.2492046
0.58984375,-12.681097,-9.8658123,-13.073146,-8.5698747
0.59179688,-13.099657,-10.191609,-13.500479,-8.060194
0.59375,-13.538455,-9.0829258,-13.950006,-9.3215789
0.59570313,-13.958915,-9.0314788,-14.413254,-10.178656
0.59765625,-14.372087,-10.588074,-14.834619,-9.3631343
0.59960938,-14.806559,-11.14805,-15.24497,-8.6437406
0.6015625,-15.234243,-9.7803239,-15.694592,-10.004663
0.60351563,-15.668111,-9.5819053,-16.097084,-10.918744
0.60546875,-16.091839,-11.635242,-16.498869,-10.019469
0.60742188,-16.517517,-11.804552,-16.933966,-9.7521257
0.609375,-16.939455,-10.102349,-17.354523,-10.780748
0.61132813,-17.371059,-10.645886,-17.778532,-11.557297
0.61328125,-17.799593,-12.78053,-18.214582,-10.860541
0.61523438,-18.213308,-12.523607,-18.646742,-10.644893
0.6171875,-18.640194,-10.879017,-19.053751,-11.81019
0.61914063,-19.075245,-11.378598,-19.470003,-12.248697
0.62109375,-19.502165,-13.023073,-19.899031,-11.282521
0.62304688,-19.918522,-13.290103,-20.311321,-11.329933
0.625,-20.342424,-12.304141,-20.733624,-12.628573
0.62695313,-20.78002,-12.17151,-21.156633,-12.815989
0.62890625,-21.202473,-13.336592,-21.584192,-11.898711
0.63085938,-21.62648,-13.710039,-22.017172,-11.823782
0.6328125,-22.062967,-12.787662,-22.421171,-13.080156
0.63476563,-22.476883,-12.823336,-22.834412,-13.425725
0.63671875,-22.901489,-14.166336,-23.238487,-12.772473
0.63867188,-23.3288,-14.231477,-23.633625,-12.927545
0.640625,-23.744364,-13.241833,-24.045765,-13.427183
0.64257813,-24.174044,-13.778631,-24.466442,-13.697709
0.64453125,-24.607347,-14.383945,-24.887005,-13.726258
0.64648438,-25.021776,-14.334491,-25.268858,-13.722301
0.6484375,-25.434301,-14.506948,-25.654282,-13.952067
0.65039063,-25.848587,-14.512952,-26.052317,-13.906739
0.65234375,-26.263195,-14.792378,-26.458975,-14.013836
0.65429688,-26.682859,-14.657291,-26.883951,-14.549557
0.65625,-27.090912,-14.642296,-27.283583,-14.570558
0.65820313,-27.490377,-15.522232,-27.675419,-14.327383
0.66015625,-27.895342,-15.616933,-28.055582,-14.582685
0.66210938,-28.310068,-14.856818,-28.439548,-14.89874
0.6640625,-28.707321,-15.112238,-28.832951,-15.045318
0.66601563,-29.108883,-16.162626,-29.218468,-15.036714
0.66796875,-29.498812,-16.336872,-29.597216,-15.187156
0.66992188,-29.873003,-15.457553,-29.960821,-15.49881
0.671875,-30.291754,-15.194576,-30.351255,-15.513494
0.67382813,-30.689817,-16.449249,-30.728058,-15.602858
0.67578125,-31.044573,-17.224627,-31.089865,-15.552749
0.67773438,-31.426191,-16.248436,-31.46924,-15.701035
0.6796875,-31.808748,-15.778112,-31.834118,-16.264452
0.68164063,-32.171314,-16.978992,-32.181656,-16.260345
0.68359375,-32.522224,-17.525452,-32.535988,-15.853301
0.68554688,-32.888489,-16.746511,-32.885029,-16.200157
0.6875,-33.261703,-16.549774,-33.218544,-16.924793
0.68945313,-33.605778,-17.415169,-33.572803,-16.700228
0.69140625,-33.951797,-17.817587,-33.90559,-16.383636
0.69335938,-34.284641,-17.291142,-34.219093,-16.824236
0.6953125,-34.60804,-17.142973,-34.532684,-17.177082
0.69726563,-34.92989,-17.787943,-34.850616,-16.917519
0.69921875,-35.25053,-18.048361,-35.167461,-16.939878
0.70117188,-35.571896,-17.731958,-35.464764,-17.57935
0.703125,-35.867016,-17.841806,-35.776566,-17.685297
0.70507813,-36.159729,-18.236963,-36.055702,-17.248169
0.70703125,-36.438324,-18.286852,-36.328175,-17.145529
0.70898438,-36.709846,-18.211082,-36.600147,-17.604708
0.7109375,-36.984367,-18.427826,-36.870743,-18.064299
0.71289063,-37.23568,-18.615448,-37.124268,-17.897886
0.71484375,-37.481586,-18.449402,-37.361629,-17.568607
0.71679688,-37.724403,-18.385887,-37.623737,-17.78013
0.71875,-37.959652,-18.729639,-37.837307,-18.202164
0.72070313,-38.161949,-18.837427,-38.058331,-18.189241
0.72265625,-38.369831,-18.518217,-38.258896,-17.894213
0.72460938,-38.573315,-18.491741,-38.460381,-18.043406
0.7265625,-38.750546,-19.010534,-38.6898,-18.393383
0.72851563,-38.932137,-19.101404,-38.859596,-18.236607
0.73046875,-39.080372,-18.452433,-39.020611,-17.892084
0.73242188,-39.230164,-18.452829,-39.173885,-17.934181
0.734375,-39.366417,-19.117798,-39.308994,-18.338739
0.73632813,-39.487194,-19.145447,-39.436935,-18.538956
0.73828125,-39.599869,-18.627007,-39.538452,-18.322546
0.74023438,-39.695076,-18.734472,-39.638699,-18.220324
0.7421875,-39.78339,-19.349293,-39.752018,-18.497524
0.74414063,-39.854282,-19.291,-39.825123,-18.743195
0.74609375,-39.930386,-18.739109,-39.878677,-18.614422
0.74804688,-39.980652,-18.883272,-39.943073,-18.38467
0.75,-40.029076,-19.428854,-39.984825,-18.555483
0.75195313,-40.074448,-19.275957,-40.027145,-18.877871
0.75390625,-40.109394,-18.823418,-40.065979,-18.82605
0.75585938,-40.14838,-19.053715,-40.083504,-18.575933
0.7578125,-40.163155,-19.46862,-40.119385,-18.61767
0.75976563,-40.170441,-19.261093,-40.123249,-18.929039
0.76171875,-40.180485,-19.134365,-40.118797,-18.984385
0.76367188,-40.182209,-19.203165,-40.136261,-18.950199
0.765625,-40.175343,-18.823278,-40.131676,-18.892134
0.76757813,-40.164158,-18.275412,-40.137955,-18.664272
0.76953125,-40.149609,-18.573076,-40.113159,-18.226166
0.77148438,-40.134975,-19.282469,-40.103718,-17.752588
0.7734375,-40.10767,-18.833212,-40.093937,-18.266577
0.77539063,-40.07975,-18.015419,-40.059372,-18.913048
0.77734375,-40.050922,-18.322056,-40.043522,-18.259018
0.77929688,-40.00745,-19.001833,-39.992638,-17.520193
0.78125,-39.951069,-18.607819,-39.966686,-18.040844
0.78320313,-39.899273,-17.837265,-39.936508,-18.643301
0.78515625,-39.849964,-18.166534,-39.866219,-18.027096
0.78710938,-39.783531,-18.8722,-39.807545,-17.330503
0.7890625,-39.704983,-18.392902,-39.737198,-17.776579
0.79101563,-39.631313,-17.459007,-39.660454,-18.377979
0.79296875,-39.548431,-17.805273,-39.591446,-17.905313
0.79492188,-39.454967,-18.604103,-39.511963,-17.204546
0.796875,-39.362072,-18.112898,-39.419193,-17.5163
0.79882813,-39.266804,-17.188869,-39.310879,-18.061226
0.80078125,-39.171276,-17.535896,-39.19426,-17.582289
0.80273438,-39.054184,-18.232386,-39.103004,-16.951853
0.8046875,-38.93335,-17.649731,-39.011562,-17.07671
0.80664063,-38.814453,-16.771458,-38.891445,-17.432573
0.80859375,-38.687027,-17.175604,-38.766121,-17.23115
0.81054688,-38.547344,-17.868645,-38.637772,-16.458872
0.8125,-38.405853,-17.339411,-38.490791,-16.384842
0.81445313,-38.267147,-16.489262,-38.349575,-17.114649
0.81640625,-38.126133,-16.779369,-38.215843,-17.097225
0.81835938,-37.964291,-17.423866,-38.061653,-16.271357
0.8203125,-37.799492,-16.887981,-37.899601,-16.133413
0.82226563,-37.644943,-16.067938,-37.722458,-16.643471
0.82421875,-37.46883,-16.397625,-37.550919,-16.456659
0.82617188,-37.296661,-16.958874,-37.395943,-15.827124
0.828125,-37.117325,-16.464972,-37.218761,-15.876281
0.83007813,-36.932785,-15.726193,-37.037403,-16.212288
0.83203125,-36.743221,-15.964442,-36.847202,-15.917352
0.83398438,-36.553185,-16.421568,-36.649433,-15.219972
0.8359375,-36.366512,-15.969289,-36.448879,-15.346619
0.83789063,-36.164268,-15.383993,-36.247066,-15.850923
0.83984375,-35.956326,-15.476213,-36.037064,-15.597386
0.84179688,-35.745708,-15.734461,-35.816349,-14.908379
0.84375,-35.545753,-15.495772,-35.60968,-15.022306
0.84570313,-35.322289,-15.044545,-35.38443,-16.105787
0.84765625,-35.096008,-15.029405,-35.166092,-15.381371
0.84960938,-34.880039,-15.035141,-34.954945,-13.682114
0.8515625,-34.647129,-15.652454,-34.74131,-14.244035
0.85351563,-34.416458,-15.643542,-34.513908,-15.553781
0.85546875,-34.180458,-13.896148,-34.274765,-14.788598
0.85742188,-33.946484,-13.605777,-34.057407,-13.201124
0.859375,-33.715218,-15.007039,-33.820686,-13.68725
0.86132813,-33.48436,-15.041545,-33.582951,-14.915043
0.86328125,-33.231655,-13.404125,-33.338905,-14.275434
0.86523438,-32.98233,-13.031007,-33.07415,-12.912324
0.8671875,-32.730919,-14.394841,-32.840569,-13.195417
0.86914063,-32.452995,-14.482971,-32.588867,-14.200736
0.87109375,-32.196857,-13.014491,-32.303905,-13.761986
0.87304688,-31.931393,-12.652842,-32.049103,-12.605134
0.875,-31.646603,-13.781125,-31.783783,-12.572351
0.87695313,-31.362097,-13.97205,-31.520723,-13.362823
0.87890625,-31.079393,-12.638069,-31.251526,-13.305647
0.88085938,-30.797859,-12.178944,-30.935724,-12.308327
0.8828125,-30.505709,-13.329126,-30.652958,-12.010715
0.88476563,-30.208952,-13.36568,-30.373613,-12.686299
0.88671875,-29.904827,-11.936428,-30.073668,-12.825614
0.88867188,-29.595367,-11.707491,-29.782518,-12.037016
0.890625,-29.29241,-12.776999,-29.472549,-11.529581
0.89257813,-28.971571,-12.794619,-29.150406,-11.863956
0.89453125,-28.650137,-11.496214,-28.82762,-12.154295
0.89648438,-28.332201,-11.270695,-28.51334,-11.656311
0.8984375,-28.008417,-12.104085,-28.193941,-11.064911
0.90039063,-27.674833,-12.009282,-27.860687,-11.300078
0.90234375,-27.346943,-11.131874,-27.528984,-11.515321
0.90429688,-27.019676,-10.938253,-27.183416,-10.987579
0.90625,-26.663082,-11.41542,-26.848206,-10.662717
0.90820313,-26.327702,-11.281469,-26.515554,-10.780528
0.91015625,-25.982203,-10.578625,-26.135714,-10.837845
0.91210938,-25.630552,-10.465872,-25.773781,-10.754467
0.9140625,-25.266701,-10.829638,-25.436428,-10.181625
0.91601563,-24.892258,-10.678591,-25.076756,-9.9020595
0.91796875,-24.538874,-10.005163,-24.704655,-10.397094
0.91992188,-24.168127,-10.016994,-24.332399,-10.173527
0.921875,-23.790373,-10.560438,-23.969719,-9.6349172
0.92382813,-23.414251,-9.9936084,-23.621244,-9.6660022
0.92578125,-23.040873,-9.2144403,-23.233595,-9.6216955
0.92773438,-22.655066,-9.5030756,-22.841656,-9.375555
0.9296875,-22.266829,-9.9186525,-22.4657,-9.0459137
