trial_id,condition,noise_seed,offset_id,start_radius,start_angle_rad,start_x,start_y,status,success,transition_time,first_entry_time,relapse,control_cost_l2,control_effort_l1,endpoint_x,endpoint_y,endpoint_distance_to_c2,endpoint_nearest_cluster,min_distance_to_c2,path_length,steps_completed
O00-N00-free_field,free_field,0,0,0.0,,11.0,28.5,TIMEOUT,False,,,False,0.0,0.0,12.109280262897162,32.3752155317981,6.525141719843876,C3,3.4307323978675583,5.384883806777737,1250
O00-N00-minimal_control,minimal_control,0,0,0.0,,11.0,28.5,SUCCESS,True,3.7800000000000002,3.8200000000000003,False,0.40000000000000324,2.0000000000000013,13.29336168041754,25.823232665056565,0.27193029589008144,C2,0.15254840420484445,7.423544822845283,1250
O00-N00-capture_hook_lock_off,capture_hook_lock_off,0,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,2.9220276501614126,1.8733977104160189,13.293361680417508,25.823232665056477,0.2719302958901635,C2,0.01754011948265727,6.214935248120956,1250
O00-N00-capture_hook_lock_on,capture_hook_lock_on,0,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,3.6518145926466086,5.994428865106049,13.39873990285221,25.89279898479861,0.14746411405690743,C2,0.007769979061124748,6.1677812158797645,1250
O00-N01-free_field,free_field,1,0,0.0,,11.0,28.5,TIMEOUT,False,,,False,0.0,0.0,12.753599718362524,32.1405364408229,6.185733680130633,C3,3.408786430691062,5.339665418593808,1250
O00-N01-minimal_control,minimal_control,1,0,0.0,,11.0,28.5,SUCCESS,True,3.6,3.66,False,0.40000000000000324,2.0000000000000013,13.30184161252782,25.827937691781333,0.2624351051881401,C2,0.14411060951416638,7.2925871270562395,1250
O00-N01-capture_hook_lock_off,capture_hook_lock_off,1,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,2.9357291816862126,1.8773131778186083,13.301841612527769,25.827937691781234,0.2624351051882442,C2,0.028468282995229396,6.202102347549535,1250
O00-N01-capture_hook_lock_on,capture_hook_lock_on,1,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,3.6560258469306364,5.9765026872156355,13.403584628620598,25.897062944563743,0.14103886421875053,C2,0.01780180288374001,6.141348737995758,1250
O00-N02-free_field,free_field,2,0,0.0,,11.0,28.5,TIMEOUT,False,,,False,0.0,0.0,12.913384396065842,32.07171101365589,6.099982991790166,C3,3.3955335029285556,5.303473680920506,1250
O00-N02-minimal_control,minimal_control,2,0,0.0,,11.0,28.5,SUCCESS,True,3.54,3.58,False,0.40000000000000324,2.0000000000000013,13.28805674286117,25.815634073596033,0.28091055349596494,C2,0.1473417414316901,7.235939687033492,1250
