condition,n,success_count,success_rate,transition_time_median,transition_time_q10,transition_time_q90,relapse_count,relapse_rate_among_successes,control_cost_l2_mean,control_cost_l2_median,control_effort_l1_mean,endpoint_mean_x,endpoint_mean_y,endpoint_spread,endpoint_distance_to_c2_median,min_distance_to_c2_median,status_counts_json,endpoint_cluster_counts_json
free_field,200,113,0.565,3.1,1.74,13.94,0,0.0,0.0,0.0,0.0,11.90136666381895,27.74951412801795,3.339494367285537,0.2728684145505751,0.25213493537430065,"{""SUCCESS"": 113, ""TIMEOUT"": 87}","{""C0"": 15, ""C1"": 3, ""C2"": 116, ""C3"": 66}"
minimal_control,200,154,0.77,3.01,1.532,15.202000000000002,0,0.0,0.40000000000000313,0.40000000000000324,2.000000000000001,12.893120257531473,26.91979423988708,2.0548488845064385,0.2674235889076,0.16487129665132044,"{""SUCCESS"": 154, ""TIMEOUT"": 46}","{""C2"": 158, ""C3"": 42}"
capture_hook_lock_off,200,200,1.0,1.22,0.9400000000000001,1.74,0,0.0,3.063137515523632,2.9445678971438527,1.9693840353117116,13.302273125304122,25.823794410693218,0.006500515014141271,0.26489479302124996,0.027087804176416177,"{""SUCCESS"": 200}","{""C2"": 200}"
capture_hook_lock_on,200,200,1.0,1.22,0.9400000000000001,1.74,0,0.0,3.7780016656255744,3.658276837490691,6.047257634379207,13.402854236993614,25.892716969688536,0.005009824166359522,0.14467299553508767,0.019803079962652962,"{""SUCCESS"": 200}","{""C2"": 200}"
