corpus,series_id,from_cycle,to_cycle,from_value_deg,to_value_deg,delta_raw_deg,delta2_signed_centideg,abs_delta2_centideg,target_plus11,janus_minus11,prespecified_control,delta3_signed_millideg,same_physical_plus011_exact_at_p3
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,7,8,4.368232718412997,4.343510555076307,-0.024722163336690528,-3,3,0,0,0,-24,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,8,9,4.343510555076307,4.32312493043591,-0.020385624640397282,-2,2,0,0,0,-21,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,9,10,4.32312493043591,4.2617891477670184,-0.06133578266889117,-6,6,0,0,0,-61,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,2,3,6.1471509260146036,5.8514462699164085,-0.2957046560981951,-30,30,0,0,0,-296,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,3,4,5.8514462699164085,5.644766401386335,-0.20667986853007392,-21,21,0,0,0,-206,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,4,5,5.644766401386335,5.528699328969509,-0.11606707241682557,-11,11,0,1,0,-116,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,5,6,5.528699328969509,5.449195323620415,-0.07950400534909363,-8,8,0,0,0,-80,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,6,7,5.449195323620415,5.408245541710727,-0.040949781909688454,-4,4,0,0,0,-41,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,7,8,5.408245541710727,5.353718915063467,-0.05452662664725949,-6,6,0,0,0,-54,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,8,9,5.353718915063467,5.291376494440499,-0.062342420622968575,-6,6,0,0,0,-63,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,2,3,6.117881786269294,5.693993104433474,-0.4238886818358196,-43,43,0,0,0,-424,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,3,4,5.693993104433474,5.447312820284424,-0.24668028414905052,-24,24,0,0,0,-247,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,4,5,5.447312820284424,5.293486965439314,-0.1538258548451097,-16,16,0,0,0,-154,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,5,6,5.293486965439314,5.2189969366777405,-0.07449002876157351,-7,7,0,0,0,-74,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,6,7,5.2189969366777405,5.160571521328791,-0.05842541534894963,-6,6,0,0,0,-58,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,7,8,5.160571521328791,5.124734413418594,-0.03583710791019712,-4,4,0,0,0,-36,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,8,9,5.124734413418594,5.084534058035956,-0.040200355382637554,-4,4,0,0,0,-40,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,2,3,5.646311191530117,5.453697109670685,-0.19261408185943196,-20,20,0,0,0,-192,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,3,4,5.453697109670685,5.351717399364645,-0.1019797103060398,-10,10,0,0,1,-102,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,4,5,5.351717399364645,5.303433710893984,-0.048283688470661446,-5,5,0,0,0,-49,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,5,6,5.303433710893984,5.239886391657791,-0.06354731923619283,-6,6,0,0,0,-63,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,6,7,5.239886391657791,5.200771432882732,-0.039114958775058994,-4,4,0,0,0,-39,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,7,8,5.200771432882732,5.178753516000654,-0.02201791688207777,-2,2,0,0,0,-22,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a1,8,9,5.178753516000654,5.165980506590643,-0.012773009410011582,-1,1,0,0,0,-13,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,2,3,5.576371331292449,5.289347213420513,-0.2870241178719368,-29,29,0,0,0,-287,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,3,4,5.289347213420513,5.169133268688256,-0.12021394473225655,-12,12,0,0,1,-120,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,4,5,5.169133268688256,5.11192398015217,-0.05720928853608598,-6,6,0,0,0,-57,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,5,6,5.11192398015217,5.036678864793117,-0.07524511535905276,-7,7,0,0,0,-75,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,6,7,5.036678864793117,5.000272442946397,-0.036406421846720605,-4,4,0,0,0,-37,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,7,8,5.000272442946397,4.967087954766356,-0.03318448818004072,-3,3,0,0,0,-33,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|B|a2,8,9,4.967087954766356,4.918914080269076,-0.04817387449728017,-5,5,0,0,0,-48,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,1,2,-1.0012315667327698,-0.7640094109027586,0.23722215583001116,24,24,0,0,0,237,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,2,3,-0.7640094109027586,-0.7030591937730435,0.060950217129715156,6,6,0,0,0,61,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,3,4,-0.7030591937730435,-0.6702281307511271,0.03283106302191641,3,3,0,0,0,33,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,4,5,-0.6702281307511271,-0.6568711694115166,0.013356961339610507,1,1,0,0,0,13,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,5,6,-0.6568711694115166,-0.6519093448174829,0.004961824594033715,1,1,0,0,0,5,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,6,7,-0.6519093448174829,-0.6384388521964013,0.013470492621081576,1,1,0,0,0,14,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,7,8,-0.6384388521964013,-0.6333660925008076,0.0050727596955937315,1,1,0,0,0,5,0
