corpus,offset_centideg,station11_count
KAPPA_CYCLE_36,71,2
KAPPA_CYCLE_36,72,6
KAPPA_CYCLE_36,73,6
KAPPA_CYCLE_36,74,4
KAPPA_CYCLE_36,75,1
KAPPA_CYCLE_36,76,6
KAPPA_CYCLE_36,77,4
KAPPA_CYCLE_36,78,3
KAPPA_CYCLE_36,79,1
KAPPA_CYCLE_36,80,1
KAPPA_CYCLE_36,81,2
KAPPA_CYCLE_36,82,2
KAPPA_CYCLE_36,83,6
KAPPA_CYCLE_36,84,6
KAPPA_CYCLE_36,85,4
KAPPA_CYCLE_36,86,1
KAPPA_CYCLE_36,87,6
KAPPA_CYCLE_36,88,4
KAPPA_CYCLE_36,89,3
KAPPA_CYCLE_36,90,1
KAPPA_CYCLE_36,91,1
KAPPA_CYCLE_36,92,2
KAPPA_CYCLE_36,93,2
KAPPA_CYCLE_36,94,6
KAPPA_CYCLE_36,95,6
KAPPA_CYCLE_36,96,4
KAPPA_CYCLE_36,97,1
KAPPA_CYCLE_36,98,6
KAPPA_CYCLE_36,99,4
