source_file,pair,cut,frequency_hz,nominal_mm,cycle,actuator,phase_deg,gain_kn_per_mm,displacement_real,displacement_imag,force_real,force_imag
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,1,1,6.018732398585911,0.5679247446378036,-2.461890462582438,-18.649413746498205,-0.2799081691302616,-10.679682884655753
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,2,1,5.565439217961,0.5692836376156142,-0.9387110855468026,-19.990112281013545,0.571792023694548,-11.37822601788194
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,3,1,5.460184387381361,0.5701925077845723,-0.9363833635143277,-19.991504211761004,0.5531650268012005,-11.398088159837004
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,4,1,5.395284438973249,0.5713959506995135,-0.9358316345671964,-19.99192500913752,0.5417305791057268,-11.422975165855238
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,5,1,5.347271356006331,0.5723088538078122,-0.9357659896471864,-19.99254515463088,0.5330787871988529,-11.442025869390406
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,6,1,5.311331299719512,0.5733465100335342,-0.9358880361357453,-19.992916425963543,0.5268049614817403,-11.463322634581457
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,7,1,5.27581182008737,0.574297763266997,-0.9357138911333434,-19.992992150277825,0.5206642121591147,-11.482700740462928
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,8,1,5.250928660177095,0.5753389040642449,-0.9355934867389943,-19.993016244670095,0.5166824252943529,-11.503750566769378
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,9,1,5.222177272287411,0.5764852710719466,-0.9355945540716237,-19.993490711845386,0.5119519791848055,-11.527202658462338
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,10,1,5.465054949677949,0.5798149138476602,0.7241943940879865,-18.807333965780643,1.4565457328500946,-10.815214172490583
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,1,1,5.017500831853141,0.6013458577864873,-2.4576388838820646,-18.6491706833758,-0.49139841481437063,-11.300883904925442
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,2,1,4.801429807058241,0.6013558642761517,-0.9371420166535129,-19.989347454019075,0.4445879199671432,-12.02569903505608
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,3,1,4.757125193608317,0.6020116107915676,-0.9352564605820404,-19.98971319171185,0.4369129147949773,-12.039278258532622
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,4,1,4.725056308222122,0.6026729505040991,-0.9350489401494899,-19.9904480515411,0.4308080625408901,-12.053178001766335
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,5,1,4.690400186594815,0.6034863758790878,-0.9343729886849932,-19.991248340146836,0.4245351315344439,-12.07015284288024
