corpus,view,operator,precision,record_count,palindrome_count,palindrome_fraction,palindrome_uniform_digit_null,palindrome_enrichment_p,prime_code_count,prime_code_fraction,prime_code_uniform_integer_null,prime_code_enrichment_p,palindrome_enrichment_fdr,prime_code_enrichment_fdr
CYCLE_72,radians_pi,TRUNCATE_TOWARD_ZERO,2,72,0,0.0,0.1,1.0,10,0.1388888888888889,0.25,0.992818279027137,1.0,1.0
CYCLE_72,radians_pi,TRUNCATE_TOWARD_ZERO,3,72,8,0.1111111111111111,0.1,0.4325321474912534,10,0.1388888888888889,0.168,0.7900899450292972,1.0,1.0
CYCLE_72,radians_pi,TRUNCATE_TOWARD_ZERO,4,72,1,0.013888888888888888,0.01,0.5150086297258368,12,0.16666666666666666,0.1229,0.16896197366095536,1.0,1.0
CYCLE_72,radians_pi,TRUNCATE_TOWARD_ZERO,5,72,1,0.013888888888888888,0.01,0.5150086297258368,7,0.09722222222222222,0.09592,0.5431600196291773,1.0,1.0
CYCLE_72,radians_pi,TRUNCATE_TOWARD_ZERO,6,72,0,0.0,0.001,1.0,6,0.08333333333333333,0.078498,0.5014100433929503,1.0,1.0
CYCLE_72,sqrt2_scaled_control,ROUND_HALF_UP,2,72,8,0.1111111111111111,0.1,0.4325321474912534,15,0.20833333333333334,0.25,0.8291623738010285,1.0,1.0
CYCLE_72,sqrt2_scaled_control,ROUND_HALF_UP,3,72,4,0.05555555555555555,0.1,0.9378956030724792,13,0.18055555555555555,0.168,0.4357499673815116,1.0,1.0
CYCLE_72,sqrt2_scaled_control,ROUND_HALF_UP,4,72,1,0.013888888888888888,0.01,0.5150086297258368,15,0.20833333333333334,0.1229,0.027301095798869027,1.0,0.5460219159773805
CYCLE_72,sqrt2_scaled_control,ROUND_HALF_UP,5,72,0,0.0,0.01,1.0,5,0.06944444444444445,0.09592,0.8320101212458582,1.0,1.0
CYCLE_72,sqrt2_scaled_control,ROUND_HALF_UP,6,72,0,0.0,0.001,1.0,10,0.1388888888888889,0.078498,0.05433116084607654,1.0,0.7761594406582363
CYCLE_72,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,2,72,4,0.05555555555555555,0.1,0.9378956030724792,19,0.2638888888888889,0.25,0.43710837509411954,1.0,1.0
CYCLE_72,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,3,72,7,0.09722222222222222,0.1,0.5888462653120128,13,0.18055555555555555,0.168,0.4357499673815116,1.0,1.0
CYCLE_72,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,4,72,0,0.0,0.01,1.0,11,0.1527777777777778,0.1229,0.2670016709544201,1.0,1.0
CYCLE_72,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,5,72,1,0.013888888888888888,0.01,0.5150086297258368,5,0.06944444444444445,0.09592,0.8320101212458582,1.0,1.0
CYCLE_72,sqrt2_scaled_control,TRUNCATE_TOWARD_ZERO,6,72,1,0.013888888888888888,0.001,0.06950262504676633,7,0.09722222222222222,0.078498,0.33556772265343177,0.8176779417266626,1.0
