n,re_z,im_z,abs_z,escaped,return_distance_to_z0,return_distance_to_previous_state
0,0.0,0.0,0.0,False,0.0,0.0
1,-0.75,0.1,0.7566372975210778,False,0.7566372975210778,0.7566372975210778
2,-0.1975,-0.05000000000000002,0.20373082731879338,False,0.20373082731879338,0.5725
3,-0.71349375,0.11975000000000001,0.7234731465569835,False,0.7234731465569835,0.54319850196688
4,-0.25526673121093746,-0.07088175312500003,0.2649251346875008,False,0.2649251346875008,0.49629876692152164
5,-0.6898631188629565,0.13618750684543882,0.7031771894679903,False,0.7031771894679903,0.48140596027146276
6,-0.2926359142534508,-0.0879014764451293,0.30555269246430583,False,0.30555269246430583,0.45607600738701726
7,-0.6720908912502807,0.15144625784749718,0.6889427662132808,False,0.6889427662132808,0.44863506046527213
8,-0.32122980291441405,-0.10357130082648838,0.3375138525087885,False,0.3375138525087885,0.43374815105112374
9,-0.6575384280744576,0.1665403771041647,0.6783011732266324,False,0.6783011732266324,0.43135114455806367
10,-0.34537891281136873,-0.11901339554399967,0.36530915911550255,False,0.36530915911550255,0.42306562143819504
11,-0.6448775949041494,0.182209434325952,0.6701249065411191,False,0.6701249065411191,0.42477600427775386
12,-0.36733316554802314,-0.13500556355393098,0.3913568150703982,False,0.3913568150703982,0.42149290046992716
13,-0.6332928476789831,0.1991840420537206,0.6638780863458396,False,0.6638780863458396,0.42710331890000447
14,-0.38861445168750264,-0.15228365840882205,0.4173865171262161,False,0.4173865171262161,0.4282488317945436
15,-0.6221691205579964,0.21835926082702267,0.6593748413192867,False,0.6593748413192867,0.43809126552680194
16,-0.410586352213013,-0.1717127785488857,0.44504654918397807,False,0.44504654918397807,0.44376059284642116
17,-0.6109041256933903,0.24100584674549577,0.6567249568538711,False,0.6567249568538711,0.45876341837271617
18,-0.43487996737630785,-0.19446293218610458,0.4763784399189746,False,0.4763784399189746,0.46969943765712163
19,-0.598695245969199,0.26913606720998867,0.6564070537550455,False,0.6564070537550455,0.4916904287674567
20,-0.46399822512713984,-0.22226096791493408,0.514484490319795,False,0.514484490319795,0.509523633949683
21,-0.5841055849373474,0.3062573892551392,0.659524770443366,False,0.659524770443366,0.5419939406915282
22,-0.502614254118373,-0.25777330298451595,0.5648611901826107,False,0.5648611901826107,0.5698872333953378
23,-0.5638259872885786,0.3591210728223837,0.6684816294312359,False,0.6684816294312359,0.6199238236911732
24,-0.5610682010031595,-0.304963586880428,0.6385924486712148,False,0.6385924486712148,0.6640903858947179
25,-0.5282052631460546,0.44221074212494493,0.6888767237074332,False,0.6888767237074332,0.7478966844486137
26,-0.6665495404355017,-0.36715608282023726,0.7609808663867177,False,0.7609808663867177,0.8211052285673163
27,-0.44051529929712235,0.5894554365438563,0.7358746092820037,False,0.7358746092820037,0.9829532426046941
28,-0.903403982756275,-0.4193282761028656,0.9959793969753095,False,0.9959793969753095,1.1099146418422685
29,-0.10969744707950113,0.8576456694273034,0.8646326527393973,False,0.8646326527393973,1.5035399969202392
30,-1.4735225643916474,-0.08816308086992986,1.4761576733532955,False,1.4761576733532955,1.6596906768281563
31,1.4134960189428587,0.35982057801625444,1.458575278801633,False,1.458575278801633,2.9215690406265997
32,1.1185001472033589,1.1172099091193881,1.5808860048493334,False,1.5808860048493334,0.8128106564337108
33,-0.7471154017406159,2.599198895614174,2.7044438101909205,True,2.7044438101909205,2.382606289875306
