parameter,c_real,c_imag,escaped_fraction,bounded_at_horizon_fraction,mean_escape_iteration_among_escaped,median_escape_iteration_among_escaped,changed_pixel_fraction_vs_c_plus_mask,integer_escape_array_sha256_le_uint16
c_0,-0.75,0.0,0.8693060782993565,0.13069392170064348,1.6879888268156424,1.0,0.12661008156642864,ad941879efa6ea274b22cc0a9b79732a60e22ad8fb3f4b12b963ca17388f0b49
c_plus,-0.75,0.1,0.9950331674043333,0.004966832595666715,10.258887865913856,1,0.0,b06c177fc9fa5d9ef82f59fab82f4b52b07c35238526c817a2b5350fc8802312
c_minus,-0.75,-0.1,0.9950331674043333,0.004966832595666715,10.258887865913856,1,0.008697475745300824,8a29550732323f5352f12a8617071ead2ea7c0da30f5fa717db7b3a325fb9c8b
c_eps_plus,-0.75,0.101,0.9952539155196962,0.004746084480303749,10.129753468410021,1,0.005474553261001534,8bcc1b6712e52a557029e515584318302d126777dcc5d04cbc49406752ff2fd8
c_eps_minus,-0.75,0.099,0.9952980651427689,0.004701934857231156,10.207252564457999,1,0.004900608161057825,f8100a391c210b7c3dcfef60eaa5c44019a60f409b3612736349149853c1ca3a
