cluster,radius,controlled_return_fraction,free_return_to_declared_center_fraction,controlled_endpoint_spread,free_median_endpoint_distance
C2,0.2,1.0,0.0,0.032043377450582396,0.26549008079197733
C2,0.4,1.0,0.0,0.027326102680767322,0.2654900807919179
C2,0.6,1.0,0.0,0.02027723990386198,0.26549008079191505
C2,0.8,1.0,0.0,0.015888484643038374,0.26549008079193626
C2,1.0,1.0,0.0,0.018524874713252242,0.2654900807919127
C2,1.2,1.0,0.0,0.02431300947987846,0.2654900807919107
C3,0.2,1.0,0.0,0.033544842902499795,3.529937878104735
C3,0.4,1.0,0.0,0.029485531256127955,3.529937878006728
C3,0.6,1.0,0.0,0.020688579920444945,3.529937877956124
C3,0.8,1.0,0.0,0.023842922604468957,3.5299378779554074
C3,1.0,1.0,0.0,0.03438196783293143,3.529937877947246
C3,1.2,0.75,0.0,1.122705197386051,3.5299378779566113
