source_root_id,ring,radius,angle_degrees,x,y
0,4,0.572924503648,102,-0.119117702264,0.560404728645
1,2,0.385472981851,288,0.119117702264,-0.366606591245
2,2,0.385472981851,108,-0.119117702264,0.366606591245
3,4,0.572924503648,282,0.119117702264,-0.560404728645
4,2,0.385472981851,120,-0.192736490926,0.333829394756
5,1,0.238235404529,324,0.192736490926,-0.140031257356
6,1,0.238235404529,144,-0.192736490926,0.140031257356
7,2,0.385472981851,300,0.192736490926,-0.333829394756
8,1,0.238235404529,156,-0.217638871657,0.0968990686998
9,1,0.238235404529,24,0.217638871657,0.0968990686998
10,1,0.238235404529,204,-0.217638871657,-0.0968990686998
11,1,0.238235404529,336,0.217638871657,-0.0968990686998
12,1,0.238235404529,216,-0.192736490926,-0.140031257356
13,2,0.385472981851,60,0.192736490926,0.333829394756
14,2,0.385472981851,240,-0.192736490926,-0.333829394756
15,1,0.238235404529,36,0.192736490926,0.140031257356
16,2,0.385472981851,252,-0.119117702264,-0.366606591245
17,4,0.572924503648,78,0.119117702264,0.560404728645
18,4,0.572924503648,258,-0.119117702264,-0.560404728645
19,2,0.385472981851,72,0.119117702264,0.366606591245
20,4,0.572924503648,270,-3.83219778125e-16,-0.572924503648
21,6,0.766722641048,90,3.83219778125e-16,0.766722641048
22,6,0.766722641048,270,-3.83219778125e-16,-0.766722641048
23,4,0.572924503648,90,3.83219778125e-16,0.572924503648
24,7,0.92701131989,174,-0.921933054885,0.0968990686998
25,7,0.92701131989,6,0.921933054885,0.0968990686998
26,7,0.92701131989,186,-0.921933054885,-0.0968990686998
27,7,0.92701131989,354,0.921933054885,-0.0968990686998
28,6,0.766722641048,114,-0.31185419319,0.700435986001
29,1,0.238235404529,72,0.0736187886612,0.226575333889
30,1,0.238235404529,252,-0.0736187886612,-0.226575333889
31,6,0.766722641048,294,0.31185419319,-0.700435986001
32,4,0.572924503648,126,-0.336756573921,0.463505659945
33,3,0.473860652112,78,0.0985211693925,0.463505659945
34,3,0.473860652112,258,-0.0985211693925,-0.463505659945
35,4,0.572924503648,306,0.336756573921,-0.463505659945
36,2,0.385472981851,144,-0.31185419319,0.226575333889
37,5,0.704294183228,84,0.0736187886612,0.700435986001
38,5,0.704294183228,264,-0.0736187886612,-0.700435986001
39,2,0.385472981851,324,0.31185419319,-0.226575333889
40,1,0.238235404529,180,-0.238235404529,5.55111512313e-17
41,7,0.92701131989,90,3.60822483003e-16,0.92701131989
42,7,0.92701131989,270,-3.60822483003e-16,-0.92701131989
43,1,0.238235404529,360,0.238235404529,-5.55111512313e-17
44,1,0.238235404529,240,-0.119117702264,-0.206317912403
45,8,1.13957192654,96,-0.119117702264,1.13332923229
46,8,1.13957192654,276,0.119117702264,-1.13332923229
47,1,0.238235404529,60,0.119117702264,0.206317912403
48,8,1.13957192654,156,-1.04105075715,0.463505659945
49,7,0.92701131989,30,0.802815352621,0.463505659945
50,7,0.92701131989,210,-0.802815352621,-0.463505659945
51,8,1.13957192654,336,1.04105075715,-0.463505659945
52,3,0.473860652112,150,-0.410375362583,0.236930326056
53,1,0.238235404529,84,0.0249023807313,0.236930326056
54,1,0.238235404529,264,-0.0249023807313,-0.236930326056
55,3,0.473860652112,330,0.410375362583,-0.236930326056
56,2,0.385472981851,180,-0.385472981851,3.60822483003e-16
57,3,0.473860652112,90,4.71844785466e-16,0.473860652112
58,3,0.473860652112,270,-4.71844785466e-16,-0.473860652112
59,2,0.385472981851,360,0.385472981851,-3.60822483003e-16
60,2,0.385472981851,216,-0.31185419319,-0.226575333889
61,5,0.704294183228,96,-0.0736187886612,0.700435986001
62,5,0.704294183228,276,0.0736187886612,-0.700435986001
63,2,0.385472981851,36,0.31185419319,0.226575333889
64,3,0.473860652112,246,-0.192736490926,-0.432893246292
65,7,0.92701131989,102,-0.192736490926,0.906753898404
66,7,0.92701131989,282,0.192736490926,-0.906753898404
67,3,0.473860652112,66,0.192736490926,0.432893246292
68,8,1.13957192654,168,-1.11466954581,0.236930326056
69,6,0.766722641048,18,0.72919656396,0.236930326056
70,6,0.766722641048,198,-0.72919656396,-0.236930326056
71,8,1.13957192654,348,1.11466954581,-0.236930326056
72,3,0.473860652112,210,-0.410375362583,-0.236930326056
73,1,0.238235404529,96,-0.0249023807313,0.236930326056
74,1,0.238235404529,276,0.0249023807313,-0.236930326056
75,3,0.473860652112,30,0.410375362583,0.236930326056
76,4,0.572924503648,234,-0.336756573921,-0.463505659945
77,3,0.473860652112,102,-0.0985211693925,0.463505659945
