run_id,archive_member,source_sha256,nominal_displacement_mm,frequency_hz,cycle,observed_amplitude_mm,gain_kn_per_mm,phase_deg,loop_area_j,maximum_branch_gap_kn
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,2,20.003352999999997,1.41056658597261,4.674383479303401,145.79415367813237,4.9732165571959435
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,3,20.004254,1.409195369093459,4.601111600777529,143.27077770992491,5.025845591305287
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,4,20.0037555,1.4111524314159496,4.538293583853232,141.7654274439906,4.817838079088229
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,5,20.009401,1.4139557621205021,4.503159623844823,140.8662724491216,5.211878828222692
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,6,20.0033305,1.4170590258852258,4.465614513320048,139.95728071515492,4.7024491504047035
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,7,20.004506,1.4205699644966723,4.436537969457561,139.3644488904534,5.169206063938336
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,8,19.9987775,1.4240695604855729,4.409291698252986,138.95391150028448,4.894619622576067
03,Data.v1.0.0/02_SMAWD/03_8wires_sin20mm_1p0Hz.csv,fb5a18f4ed1be7015d990614942affa253ce797e1f501defd58e89a16dd537ed,20.0,1.0,9,20.003479,1.42711337872638,4.380922627473723,138.331687218004,4.912314839579777
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,1,40.0689565,0.8996878469588111,8.650377122421332,703.8896705900992,13.305620030081158
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,2,40.0723535,0.8545821320644567,6.9371412212801715,520.323932615787,9.653919036320259
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,3,40.072241000000005,0.8336585584014767,5.913983031137775,433.18077524310104,8.076008135211888
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,4,40.07267,0.8212290801657185,5.3912881100753225,389.10950192113836,7.473315819970717
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,5,40.07795350000001,0.8126486842568954,5.077597021766309,362.6965643178454,7.109656946226838
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,6,40.0746555,0.8060356033874512,4.868361709931179,344.96915330163534,6.769977318659045
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,7,40.075348,0.8008545396588604,4.71212854372061,331.86644385747286,6.600793714815763
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,8,40.070139,0.7963725313556744,4.600164809360052,322.14297880863086,6.384085302141806
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,9,40.0739915,0.7923732714858956,4.507351646066468,314.0652191621436,6.270857403886474
